"source_path","target_path","http_status","reason"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-5000lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-5000lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-500lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-500lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-5500lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-5500lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-6000lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-6000lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-700lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-700lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-8000lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-8000lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-800lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-800lm","301","legacy-search"
"/catalogsearch/result/?q=foto-a-video-technika+projektory+svietivost-ansi-840lm","/vyhladavanie?q=foto-a-video-technika%20projektory%20svietivost-ansi-840lm","301","legacy-search"
"/catalogsearch/result/?q=fritezy","/vyhladavanie?q=fritezy","301","legacy-search"
"/catalogsearch/result/?q=garaz","/vyhladavanie?q=garaz","301","legacy-search"
"/catalogsearch/result/?q=gastro+spotrebice","/vyhladavanie?q=gastro%20spotrebice","301","legacy-search"
"/catalogsearch/result/?q=hmlove+a+denne+svietenie","/vyhladavanie?q=hmlove%20a%20denne%20svietenie","301","legacy-search"
"/catalogsearch/result/?q=hrnceky+a+salky","/vyhladavanie?q=hrnceky%20a%20salky","301","legacy-search"
"/catalogsearch/result/?q=hry+zabava+vyuka","/vyhladavanie?q=hry%20zabava%20vyuka","301","legacy-search"
"/catalogsearch/result/?q=hudobne+nastroje","/vyhladavanie?q=hudobne%20nastroje","301","legacy-search"
"/catalogsearch/result/?q=indukcne+sporaky","/vyhladavanie?q=indukcne%20sporaky","301","legacy-search"
"/catalogsearch/result/?q=inhalatory","/vyhladavanie?q=inhalatory","301","legacy-search"
"/catalogsearch/result/?q=instalacia","/vyhladavanie?q=instalacia","301","legacy-search"
"/catalogsearch/result/?q=intel+20+core+xeon","/vyhladavanie?q=intel%2020%20core%20xeon","301","legacy-search"
"/catalogsearch/result/?q=intel+atom","/vyhladavanie?q=intel%20atom","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+apple-watch-se-gps-44mm-midnight-aluminium-case-with-midnight-sport-band-regular","/vyhladavanie?q=inteligentne-zariadenia%20apple-watch-se-gps-44mm-midnight-aluminium-case-with-midnight-sport-band-regular","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+elektricke-zubne-kefky+ustne-sprchy","/vyhladavanie?q=inteligentne-zariadenia%20elektricke-zubne-kefky%20ustne-sprchy","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+elektricke-zubne-kefky+zubne-kefky","/vyhladavanie?q=inteligentne-zariadenia%20elektricke-zubne-kefky%20zubne-kefky","301","legacy-search"
"/catalogsearch/result/?q=inteligentne-zariadenia+inteligentne-osvetlenie+vonkajsie-pasiky","/vyhladavanie?q=inteligentne-zariadenia%20inteligentne-osvetlenie%20vonkajsie-pasiky","301","legacy-search"
